,date,open,close,high,low,volume,code
202,2018-11-02,3.92,3.99,4.0,3.87,35613.0,000906
203,2018-11-05,3.97,3.95,3.99,3.9,21507.0,000906
204,2018-11-06,3.92,3.99,4.02,3.9,16993.0,000906
205,2018-11-07,3.99,3.93,4.03,3.92,15685.0,000906
206,2018-11-08,3.95,3.92,3.97,3.91,14074.0,000906
207,2018-11-09,3.91,4.06,4.21,3.89,46297.0,000906
208,2018-11-12,4.07,4.12,4.16,4.01,26296.0,000906
209,2018-11-13,4.05,4.22,4.27,4.05,28346.0,000906
210,2018-11-14,4.2,4.18,4.28,4.17,21949.0,000906
211,2018-11-15,4.19,4.3,4.3,4.16,20913.0,000906
212,2018-11-16,4.31,4.32,4.39,4.26,30810.0,000906
213,2018-11-19,4.33,4.53,4.56,4.33,41854.0,000906
214,2018-11-20,4.45,4.37,4.61,4.33,39898.0,000906
215,2018-11-21,4.32,4.34,4.45,4.28,36515.0,000906
216,2018-11-22,4.36,4.32,4.41,4.29,22782.0,000906
217,2018-11-23,4.32,4.12,4.37,4.09,33685.0,000906
218,2018-11-26,4.11,4.17,4.21,4.04,21816.0,000906
219,2018-11-27,4.16,4.12,4.22,4.07,20492.0,000906
220,2018-11-28,4.19,4.19,4.21,4.11,15911.0,000906
221,2018-11-29,4.24,3.99,4.24,3.99,19650.0,000906
222,2018-11-30,4.02,4.18,4.18,3.99,18826.0,000906
223,2018-12-03,4.35,4.38,4.59,4.27,62828.0,000906
224,2018-12-04,4.35,4.36,4.39,4.2,32446.0,000906
225,2018-12-05,4.3,4.26,4.32,4.2,22446.0,000906
226,2018-12-06,4.23,4.14,4.28,4.12,23725.0,000906
227,2018-12-07,4.15,4.17,4.23,4.07,16523.0,000906
228,2018-12-10,4.17,4.1,4.17,4.06,12382.0,000906
229,2018-12-11,4.12,4.08,4.18,4.05,17737.0,000906
230,2018-12-12,4.13,4.03,4.15,4.03,16115.0,000906
231,2018-12-13,4.1,4.12,4.18,4.03,18814.0,000906
232,2018-12-14,4.14,4.0,4.17,3.99,21595.0,000906
233,2018-12-17,4.0,4.04,4.04,3.95,12318.0,000906
234,2018-12-18,4.04,3.98,4.05,3.95,11916.0,000906
235,2018-12-19,4.02,3.92,4.02,3.89,20425.0,000906
236,2018-12-20,3.91,3.91,3.97,3.85,14837.0,000906
237,2018-12-21,3.92,3.89,3.95,3.86,12043.0,000906
238,2018-12-24,3.92,3.9,3.94,3.85,13043.0,000906
239,2018-12-25,3.88,3.87,3.89,3.72,16931.0,000906
240,2018-12-26,3.87,3.83,3.88,3.8,5536.0,000906
241,2018-12-27,3.89,3.75,3.9,3.75,13969.0,000906
242,2018-12-28,3.79,3.78,3.83,3.74,8892.0,000906
243,2019-01-02,3.8,3.84,3.88,3.78,8794.0,000906
244,2019-01-03,3.82,3.92,3.95,3.82,14882.0,000906
245,2019-01-04,3.9,4.01,4.01,3.9,12822.0,000906
246,2019-01-07,4.01,4.03,4.07,3.96,19314.0,000906
247,2019-01-08,4.04,4.0,4.06,3.97,10478.0,000906
248,2019-01-09,3.99,3.98,4.07,3.98,22089.0,000906
249,2019-01-10,3.96,4.03,4.07,3.93,20749.0,000906
250,2019-01-11,4.03,4.07,4.07,3.99,10240.0,000906
251,2019-01-14,4.07,4.01,4.08,3.99,14021.0,000906
252,2019-01-15,4.0,4.04,4.04,3.97,16016.0,000906
253,2019-01-16,4.03,3.99,4.07,3.97,14151.0,000906
254,2019-01-17,4.03,3.98,4.05,3.98,16025.0,000906
255,2019-01-18,3.98,4.04,4.04,3.97,11053.0,000906
256,2019-01-21,4.04,4.08,4.08,4.0,25138.0,000906
257,2019-01-22,4.05,3.96,4.06,3.92,21160.0,000906
258,2019-01-23,3.95,4.0,4.01,3.95,13930.0,000906
259,2019-01-24,3.99,3.98,4.02,3.96,10969.0,000906
260,2019-01-25,4.01,4.0,4.03,3.97,16890.0,000906
261,2019-01-28,4.01,4.04,4.05,3.99,21216.0,000906
262,2019-01-29,4.03,3.73,4.03,3.64,63136.0,000906
263,2019-01-30,3.72,3.79,3.83,3.69,27482.0,000906
264,2019-01-31,3.78,3.72,3.84,3.71,19041.0,000906
265,2019-02-01,3.79,3.8,3.8,3.71,21394.0,000906
266,2019-02-11,3.82,3.88,3.88,3.77,22133.0,000906
267,2019-02-12,3.89,3.96,4.0,3.89,26450.0,000906
268,2019-02-13,3.96,4.01,4.03,3.93,30314.0,000906
269,2019-02-14,4.01,3.98,4.05,3.92,31194.0,000906
270,2019-02-15,3.97,3.98,4.03,3.96,25839.0,000906
271,2019-02-18,3.99,4.08,4.09,3.99,40673.0,000906
272,2019-02-19,4.08,4.12,4.18,4.05,45947.0,000906
273,2019-02-20,4.11,4.12,4.13,4.05,30787.0,000906
274,2019-02-21,4.09,4.21,4.25,4.09,58463.0,000906
275,2019-02-22,4.19,4.25,4.26,4.14,47229.0,000906
276,2019-02-25,4.29,4.44,4.48,4.17,83496.0,000906
277,2019-02-26,4.42,4.48,4.73,4.37,115411.0,000906
278,2019-02-27,4.45,4.53,4.65,4.43,65705.0,000906
279,2019-02-28,4.54,4.47,4.59,4.43,49130.0,000906
280,2019-03-01,4.51,4.51,4.54,4.44,30655.0,000906
281,2019-03-04,4.53,4.65,4.74,4.53,94905.0,000906
282,2019-03-05,4.64,4.74,4.87,4.58,72181.0,000906
283,2019-03-06,4.78,4.78,4.83,4.68,82022.0,000906
284,2019-03-07,4.8,4.77,4.92,4.74,96576.0,000906
285,2019-03-08,4.75,4.58,4.75,4.57,125004.0,000906
286,2019-03-11,4.61,4.67,4.71,4.53,109107.0,000906
287,2019-03-12,4.72,4.78,4.84,4.69,107367.0,000906
288,2019-03-13,4.78,4.61,4.79,4.58,80834.0,000906
289,2019-03-14,4.61,4.53,4.68,4.48,79102.0,000906
290,2019-03-15,4.55,4.59,4.67,4.53,36921.0,000906
291,2019-03-18,4.64,4.8,4.82,4.58,69736.0,000906
292,2019-03-19,4.82,4.73,4.82,4.59,61610.0,000906
293,2019-03-20,4.72,4.78,4.8,4.63,50725.0,000906
294,2019-03-21,4.75,5.03,5.24,4.73,155619.0,000906
295,2019-03-22,5.03,4.96,5.05,4.89,86662.0,000906
296,2019-03-25,4.86,4.86,4.93,4.69,62970.0,000906
