,date,open,close,high,low,volume,code
0,2010-01-04,4.202,4.22,4.321,4.166,22631.97,000906
1,2010-01-05,4.22,4.143,4.244,4.059,19981.09,000906
2,2010-01-06,4.095,4.16,4.256,4.095,20332.73,000906
3,2010-01-07,4.148,3.738,4.178,3.726,27844.88,000906
4,2010-01-11,3.863,3.726,3.97,3.583,33740.76,000906
5,2010-01-12,3.691,3.863,3.928,3.625,19338.34,000906
6,2010-01-13,3.762,3.863,3.97,3.732,32511.68,000906
7,2010-01-14,3.911,4.006,4.053,3.792,33389.06,000906
8,2010-01-15,3.988,4.059,4.065,3.94,24744.89,000906
9,2010-01-18,4.297,4.321,4.565,4.291,100839.06,000906
10,2010-01-19,4.214,4.279,4.315,4.137,51571.35,000906
11,2010-01-20,4.267,3.94,4.267,3.887,43214.52,000906
12,2010-01-21,3.934,3.994,4.065,3.899,20784.79,000906
13,2010-01-22,3.922,3.613,3.922,3.482,35246.11,000906
14,2010-01-25,3.578,3.613,3.72,3.554,13378.33,000906
15,2010-01-26,3.589,3.548,3.685,3.465,16514.8,000906
16,2010-01-27,3.548,3.494,3.601,3.465,15927.61,000906
17,2010-01-28,3.524,3.482,3.554,3.465,11045.32,000906
18,2010-01-29,3.524,3.732,3.905,3.488,41503.05,000906
19,2010-02-01,3.804,4.065,4.232,3.744,107356.35,000906
20,2010-02-02,4.024,3.917,4.172,3.893,55237.7,000906
21,2010-02-03,3.911,3.756,3.958,3.482,55153.09,000906
22,2010-02-04,3.702,4.315,4.315,3.583,140890.51,000906
23,2010-02-05,4.089,4.03,4.267,3.97,93471.27,000906
24,2010-02-08,3.982,4.119,4.261,3.982,52523.7,000906
25,2010-02-09,4.16,4.113,4.202,4.0,35127.21,000906
26,2010-02-10,4.285,4.178,4.493,4.16,53971.62,000906
27,2010-02-11,4.148,3.97,4.208,3.946,39303.9,000906
28,2010-02-12,3.97,3.922,4.0,3.857,28766.19,000906
29,2010-02-22,3.94,4.113,4.208,3.887,39634.09,000906
30,2010-02-23,4.065,4.303,4.315,3.976,62831.84,000906
31,2010-02-24,4.38,4.44,4.654,4.321,129043.68,000906
32,2010-02-25,4.434,4.595,4.636,4.333,106180.68,000906
33,2010-02-26,4.606,4.809,4.862,4.446,122432.87,000906
34,2010-03-01,4.779,4.761,4.999,4.684,134528.6,000906
35,2010-03-02,4.785,4.69,4.856,4.577,83233.38,000906
36,2010-03-03,4.713,4.779,4.862,4.595,89275.12,000906
37,2010-03-04,4.797,4.392,4.797,4.327,77944.72,000906
38,2010-03-05,4.392,4.339,4.47,4.297,41033.01,000906
39,2010-03-09,4.541,4.386,4.767,4.345,59679.85,000906
40,2010-03-10,4.267,4.256,4.44,4.178,31835.65,000906
41,2010-03-11,4.256,4.285,4.357,4.148,24382.12,000906
42,2010-03-12,4.267,4.119,4.315,4.107,24179.72,000906
43,2010-03-15,4.131,4.0,4.166,3.97,19750.22,000906
44,2010-03-16,4.047,4.053,4.053,3.911,18880.35,000906
45,2010-03-17,4.089,4.214,4.226,4.024,24920.77,000906
46,2010-03-18,4.214,4.351,4.386,4.214,37037.3,000906
47,2010-03-19,4.357,4.315,4.38,4.214,24905.92,000906
48,2010-03-22,4.321,4.505,4.541,4.25,50210.27,000906
49,2010-03-23,4.505,4.493,4.589,4.416,40222.11,000906
50,2010-03-24,4.446,4.416,4.577,4.369,36660.08,000906
51,2010-03-25,4.422,4.202,4.422,4.178,31326.2,000906
52,2010-03-26,4.202,4.327,4.327,4.148,19235.96,000906
53,2010-03-29,4.327,4.303,4.369,4.19,29629.34,000906
54,2010-03-30,4.261,4.398,4.416,4.25,30722.28,000906
55,2010-03-31,4.404,4.523,4.553,4.339,52307.72,000906
56,2010-04-01,4.535,4.63,4.678,4.458,69163.17,000906
57,2010-04-02,4.666,4.535,4.666,4.505,47338.15,000906
58,2010-04-06,4.559,4.624,4.654,4.47,42199.2,000906
59,2010-04-07,4.595,4.577,4.648,4.499,50104.93,000906
60,2010-04-08,4.577,4.749,4.797,4.529,90280.73,000906
61,2010-04-09,4.767,4.719,4.88,4.666,78266.41,000906
62,2010-04-12,4.731,4.957,4.963,4.612,89911.03,000906
63,2010-04-13,4.981,4.761,4.981,4.517,65581.06,000906
64,2010-04-14,4.761,4.815,4.88,4.713,48483.03,000906
65,2010-04-15,4.815,4.476,4.815,4.464,63396.23,000906
66,2010-04-19,4.392,4.476,4.565,4.297,42941.64,000906
67,2010-04-20,4.392,4.672,4.678,4.345,78983.17,000906
68,2010-04-21,4.654,4.898,4.969,4.577,118799.91,000906
69,2010-04-22,4.862,5.082,5.237,4.815,128235.29,000906
70,2010-04-23,5.094,5.011,5.219,4.892,112099.48,000906
71,2010-04-26,5.017,5.177,5.391,4.975,153313.06,000906
72,2010-04-27,5.183,5.296,5.499,5.082,234965.41,000906
73,2010-04-28,5.231,4.916,5.231,4.803,110056.26,000906
74,2010-04-29,4.922,5.07,5.261,4.809,106827.83,000906
75,2010-04-30,4.951,4.517,5.011,4.476,56055.44,000906
76,2010-05-04,4.41,4.499,4.684,4.357,53847.84,000906
77,2010-05-05,4.452,4.743,4.773,4.357,69400.85,000906
78,2010-05-06,4.743,4.333,4.803,4.327,67397.84,000906
79,2010-05-07,4.208,3.958,4.208,3.857,52685.9,000906
80,2010-05-10,4.089,3.94,4.148,3.732,29459.8,000906
81,2010-05-11,4.077,3.97,4.137,3.857,32476.43,000906
82,2010-05-12,3.94,4.089,4.148,3.744,52788.06,000906
83,2010-05-14,4.148,4.143,4.208,4.03,44049.71,000906
84,2010-05-17,4.083,3.964,4.297,3.928,57713.2,000906
85,2010-05-18,3.964,4.089,4.178,3.732,44624.32,000906
86,2010-05-19,4.059,4.089,4.202,3.982,40740.96,000906
87,2010-05-20,4.113,4.089,4.327,4.03,48483.24,000906
88,2010-05-21,3.839,4.107,4.267,3.679,49328.05,000906
89,2010-05-24,4.113,4.434,4.434,4.113,77914.01,000906
90,2010-05-25,4.333,4.202,4.505,4.113,51994.23,000906
91,2010-05-26,4.232,4.279,4.345,4.137,46880.04,000906
92,2010-05-27,4.273,4.279,4.315,4.089,42950.0,000906
93,2010-05-28,4.297,4.196,4.327,4.113,34695.59,000906
94,2010-05-31,4.166,3.851,4.166,3.744,52588.88,000906
95,2010-06-01,3.786,3.583,3.851,3.512,34862.64,000906
96,2010-06-02,3.53,3.578,3.589,3.34,28933.1,000906
97,2010-06-03,3.583,3.482,3.613,3.47,24681.39,000906
98,2010-06-04,3.429,3.441,3.482,3.274,24919.51,000906
99,2010-06-07,3.322,3.239,3.363,3.191,26749.3,000906
100,2010-06-08,3.167,3.286,3.292,3.167,18746.42,000906
101,2010-06-09,3.274,3.411,3.423,3.262,25404.02,000906
102,2010-06-10,3.369,3.417,3.476,3.322,23639.4,000906
103,2010-06-11,3.435,3.381,3.53,3.375,18003.75,000906
104,2010-06-18,3.381,3.09,3.381,3.048,15753.52,000906
105,2010-06-21,3.096,3.387,3.453,2.923,47124.04,000906
106,2010-06-22,3.346,3.482,3.583,3.322,51531.94,000906
107,2010-06-23,3.411,3.298,3.488,3.215,30281.32,000906
108,2010-06-24,3.286,3.286,3.334,3.239,15934.74,000906
109,2010-06-25,3.274,3.179,3.274,3.137,14947.79,000906
110,2010-06-28,3.244,3.375,3.601,3.244,50038.33,000906
111,2010-06-29,3.316,2.858,3.316,2.858,35462.46,000906
112,2010-06-30,2.751,2.513,2.751,2.453,21027.1,000906
113,2010-07-01,2.513,2.465,2.626,2.424,14753.84,000906
114,2010-07-02,2.465,2.418,2.513,2.186,16226.17,000906
115,2010-07-05,2.352,2.305,2.394,2.245,10530.2,000906
116,2010-07-06,2.275,2.459,2.501,2.263,16371.79,000906
117,2010-07-07,2.453,2.489,2.513,2.418,12643.54,000906
118,2010-07-08,2.489,2.507,2.531,2.442,13626.36,000906
119,2010-07-09,2.501,2.614,2.65,2.453,22476.02,000906
120,2010-07-12,2.602,2.9,3.06,2.59,54783.0,000906
121,2010-07-13,2.798,2.739,2.828,2.679,23990.41,000906
122,2010-07-14,2.757,2.787,2.852,2.733,18594.77,000906
123,2010-07-15,2.781,2.709,2.846,2.697,16844.63,000906
124,2010-07-16,2.739,2.668,2.81,2.555,23384.08,000906
125,2010-07-19,2.662,2.769,2.775,2.543,19662.84,000906
126,2010-07-20,2.81,2.941,2.989,2.751,36469.03,000906
127,2010-07-21,2.9,2.947,3.048,2.864,30465.13,000906
128,2010-07-22,2.929,3.084,3.114,2.905,41937.46,000906
129,2010-07-26,3.084,3.393,3.482,3.084,76999.06,000906
130,2010-07-27,3.31,3.304,3.423,3.298,52919.94,000906
131,2010-07-28,3.304,3.381,3.381,3.256,42975.18,000906
132,2010-07-29,3.601,3.583,3.613,3.34,63267.99,000906
133,2010-07-30,3.494,3.691,3.762,3.494,63442.8,000906
134,2010-08-02,3.691,3.685,3.702,3.619,48237.87,000906
135,2010-08-03,3.685,3.583,3.702,3.566,34635.63,000906
136,2010-08-04,3.512,3.726,3.732,3.494,45042.57,000906
137,2010-08-05,3.714,3.655,3.756,3.631,18411.67,000906
138,2010-08-06,3.655,3.691,3.696,3.572,36298.51,000906
139,2010-08-09,3.661,3.97,3.994,3.613,57196.0,000906
140,2010-08-10,3.917,3.875,4.059,3.851,28965.88,000906
141,2010-08-11,3.881,3.982,4.0,3.792,24577.49,000906
142,2010-08-12,3.94,3.911,4.053,3.821,24862.8,000906
143,2010-08-13,3.928,4.184,4.232,3.857,47053.4,000906
144,2010-08-16,4.196,4.238,4.321,4.107,45215.99,000906
